RefDes,Description,Value,X,Y,rotation,top/bottom
C57,"0402_sr.fp","sr-c-100n-0402-16v",58.30,75.60,0,top
D16,"SOD523_sr.fp","sr-d-pesd5z12",49.60,88.80,180,top
TP55,"TP_sr.fp","sr-nothing",56.40,77.00,0,bottom
TP58,"TP_sr.fp","sr-nothing",42.70,68.00,0,bottom
TP57,"TP_sr.fp","sr-nothing",41.00,67.30,0,bottom
TP56,"TP_sr.fp","sr-nothing",61.20,75.10,0,bottom
TP52,"TP_sr.fp","sr-nothing",61.20,77.00,0,bottom
TP51,"TP_sr.fp","sr-nothing",53.10,69.80,0,bottom
TP50,"TP_sr.fp","sr-nothing",16.90,82.70,0,bottom
C62,"0402_sr.fp","sr-c-100n-0402-16v",43.50,87.90,90,top
J17,"header_127_10w_sr.fp","sr-cn-header2x5-1.27mm",47.50,86.27,270,top
TP35,"TP_sr.fp","sr-nothing",71.70,54.80,0,bottom
TP32,"TP_sr.fp","sr-nothing",71.70,47.20,0,bottom
TP25,"TP_sr.fp","sr-nothing",13.30,36.70,0,bottom
TP30,"TP_sr.fp","sr-nothing",13.30,29.30,0,bottom
TP24,"TP_sr.fp","sr-nothing",71.70,36.70,0,bottom
TP19,"TP_sr.fp","sr-nothing",71.70,29.20,0,bottom
C28,"0402_sr.fp","sr-c-100n-0402-16v",66.40,33.00,90,top
C42,"1206_sr.fp","sr-c-10u-1206-16v",28.10,48.70,180,top
C43,"0402_sr.fp","sr-c-100n-0402-16v",38.30,51.50,90,top
C36,"1206_sr.fp","sr-c-10u-1206-16v",55.70,48.70,0,top
R10,"0402_sr.fp","sr-r-100-0402",32.60,26.10,270,top
C3,"1206_sr.fp","sr-c-10u-1206-16v",37.00,27.70,270,top
D2,"SOD523_sr.fp","sr-d-pesd5z12",48.90,21.40,270,top
C6,"0402_sr.fp","sr-c-1u-0402-10v",43.60,40.50,180,top
TP3,"TP_sr.fp","sr-nothing",46.10,29.30,0,bottom
R5,"0402_sr.fp","sr-r-10k-0402",50.30,21.50,270,top
TP15,"TP_sr.fp","sr-nothing",35.80,86.80,0,bottom
TP17,"TP_sr.fp","sr-nothing",33.30,81.60,0,bottom
TP11,"TP_sr.fp","sr-nothing",35.20,69.80,0,bottom
TP14,"TP_sr.fp","sr-nothing",33.10,67.40,0,bottom
TP12,"TP_sr.fp","sr-nothing",31.30,64.20,0,bottom
